,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Split-Encoded
3706,532,4,532-4,Leaf,,,,,0.129230335,30.1166153,
3707,532,5,532-5,Leaf,,,,,-0.0606173575,98.0784836,
3708,532,6,532-6,Leaf,,,,,0.0484490395,42.5686836,
3709,533,0,533-0,f12132,0.5,533-1,533-2,533-1,2.21364975,161.291351,b100
3710,533,1,533-1,f15864,0.5,533-3,533-4,533-3,2.76093912,130.668747,b100
3711,533,2,533-2,f244,0.5,533-5,533-6,533-5,1.74753308,30.6226139,b100
3712,533,3,533-3,Leaf,,,,,-0.0248687845,126.308609,
3713,533,4,533-4,Leaf,,,,,0.195039704,4.36013746,
3714,533,5,533-5,Leaf,,,,,0.129208475,18.1588421,
3715,533,6,533-6,Leaf,,,,,-0.0140791154,12.4637718,
3716,534,0,534-0,f27270,-0.5,534-1,534-2,534-1,2.4190743,197.988876,b001
3717,534,1,534-1,f22519,0.5,534-3,534-4,534-3,3.363585,81.3418503,b100
3718,534,2,534-2,f38647,-0.5,534-5,534-6,534-5,4.16551399,116.647034,b001
3719,534,3,534-3,Leaf,,,,,-0.0688047186,19.7131615,
3720,534,4,534-4,Leaf,,,,,0.0709590986,61.6286888,
3721,534,5,534-5,Leaf,,,,,-0.139580444,23.8090553,
3722,534,6,534-6,Leaf,,,,,-0.00118588947,92.8379822,
3723,535,0,535-0,f28910,0.5,535-1,535-2,535-1,1.55005109,105.854935,b100
3724,535,1,535-1,f23201,0.5,535-3,535-4,535-3,1.97804165,51.6011467,b100
3725,535,2,535-2,f40545,0.5,535-5,535-6,535-5,1.9541204,54.2537842,b100
3726,535,3,535-3,Leaf,,,,,0.0207552575,26.6099319,
3727,535,4,535-4,Leaf,,,,,-0.0949701294,24.9912148,
3728,535,5,535-5,Leaf,,,,,0.0658330992,42.3907967,
3729,535,6,535-6,Leaf,,,,,-0.0677840114,11.8629875,
3730,536,0,536-0,f3536,0.5,536-1,536-2,536-1,1.66290677,105.123001,b100
3731,536,1,536-1,f38,0.5,536-3,536-4,536-3,1.78209579,99.0936508,b100
3732,536,2,536-2,Leaf,,,,,-0.146797583,6.02935219,
3733,536,3,536-3,Leaf,,,,,0.0208841786,84.895752,
3734,536,4,536-4,Leaf,,,,,-0.0905694962,14.1979008,
3735,537,0,537-0,f30166,0.5,537-1,537-2,537-1,2.19738388,165.075821,b100
3736,537,1,537-1,f32966,-0.5,537-3,537-4,537-3,2.35735011,121.126953,b001
3737,537,2,537-2,f12254,0.5,537-5,537-6,537-5,1.86101687,43.9488716,b100
3738,537,3,537-3,Leaf,,,,,-0.0521488339,29.0062351,
3739,537,4,537-4,Leaf,,,,,0.044642821,92.1207199,
3740,537,5,537-5,Leaf,,,,,-0.0753967315,40.3717384,
3741,537,6,537-6,Leaf,,,,,0.128061935,3.57713437,
3742,538,0,538-0,f2312,0.5,538-1,538-2,538-1,2.31230092,230.583038,b100
3743,538,1,538-1,f5569,0.5,538-3,538-4,538-3,2.67302036,222.57843,b100
3744,538,2,538-2,Leaf,,,,,-0.148688912,8.00460529,
3745,538,3,538-3,Leaf,,,,,0.000836597697,217.409637,
3746,538,4,538-4,Leaf,,,,,0.201102331,5.1687994,
3747,539,0,539-0,f3608,0.5,539-1,539-2,539-1,3.30086946,399.559631,b100
3748,539,1,539-1,f3443,0.5,539-3,539-4,539-3,4.151299,355.270813,b100
3749,539,2,539-2,f2875,0.5,539-5,539-6,539-5,2.24464798,44.2888145,b100
3750,539,3,539-3,Leaf,,,,,-0.0218100436,314.390137,
3751,539,4,539-4,Leaf,,,,,0.0787301213,40.8806992,
3752,539,5,539-5,Leaf,,,,,0.0965658426,40.6797066,
3753,539,6,539-6,Leaf,,,,,-0.127122447,3.60910845,
3754,540,0,540-0,f17558,0.5,540-1,540-2,540-1,2.59951138,255.079132,b100
3755,540,1,540-1,f26684,-0.5,540-3,540-4,540-3,2.68387651,243.597748,b001
3756,540,2,540-2,f11576,0.5,540-5,540-6,540-5,0.55630064,11.48139,b100
3757,540,3,540-3,Leaf,,,,,-0.0986564606,18.7311935,
3758,540,4,540-4,Leaf,,,,,0.0167319868,224.866547,
3759,540,5,540-5,Leaf,,,,,-0.152413219,10.4688663,
3760,540,6,540-6,Leaf,,,,,0.0445376299,1.01252377,
3761,541,0,541-0,f22727,0.5,541-1,541-2,541-1,2.32752848,165.962219,b100
3762,541,1,541-1,f38425,-0.5,541-3,541-4,541-3,2.46429443,120.252335,b001
3763,541,2,541-2,f41067,-0.5,541-5,541-6,541-5,2.56692171,45.7098846,b001
3764,541,3,541-3,Leaf,,,,,0.0946976542,30.6694927,
3765,541,4,541-4,Leaf,,,,,-0.0026342799,89.58284,
3766,541,5,541-5,Leaf,,,,,0.0927245021,7.77003431,
3767,541,6,541-6,Leaf,,,,,-0.0881203413,37.9398499,
3768,542,0,542-0,f31400,-0.5,542-1,542-2,542-1,2.22770357,111.914726,b001
3769,542,1,542-1,f6756,0.5,542-3,542-4,542-3,1.89289296,37.6981277,b100
3770,542,2,542-2,f34098,-0.5,542-5,542-6,542-5,2.18286443,74.2165985,b001
3771,542,3,542-3,Leaf,,,,,-0.0855821595,31.3378544,
3772,542,4,542-4,Leaf,,,,,0.084459044,6.36027527,
3773,542,5,542-5,Leaf,,,,,0.0951977819,29.3985538,
3774,542,6,542-6,Leaf,,,,,-0.0087723732,44.8180428,
3775,543,0,543-0,f11763,0.5,543-1,543-2,543-1,2.53760505,263.546143,b100
3776,543,1,543-1,f524,0.5,543-3,543-4,543-3,3.506917,247.232742,b100
3777,543,2,543-2,f1455,0.5,543-5,543-6,543-5,0.673397303,16.3133945,b100
3778,543,3,543-3,Leaf,,,,,0.000528033299,235.698685,
3779,543,4,543-4,Leaf,,,,,0.163380891,11.5340538,
3780,543,5,543-5,Leaf,,,,,-0.127851188,15.0049314,
3781,543,6,543-6,Leaf,,,,,0.0611314438,1.30846298,
3782,544,0,544-0,f17558,0.5,544-1,544-2,544-1,2.20514965,158.581772,b100
3783,544,1,544-1,f34472,-0.5,544-3,544-4,544-3,2.62973833,136.570831,b001
3784,544,2,544-2,f439,0.5,544-5,544-6,544-5,1.61679494,22.0109463,b100
3785,544,3,544-3,Leaf,,,,,0.0633304194,30.6809273,
3786,544,4,544-4,Leaf,,,,,-0.0351144262,105.8899,
3787,544,5,544-5,Leaf,,,,,-0.0232388414,7.55736876,
3788,544,6,544-6,Leaf,,,,,0.143364653,14.453578,
3789,545,0,545-0,f28329,0.5,545-1,545-2,545-1,2.37065864,195.376465,b100
3790,545,1,545-1,f40244,-0.5,545-3,545-4,545-3,2.51079822,150.335419,b001
3791,545,2,545-2,f39090,0.5,545-5,545-6,545-5,2.09232163,45.0410461,b100
3792,545,3,545-3,Leaf,,,,,0.0125223072,86.0508041,
3793,545,4,545-4,Leaf,,,,,-0.0653811023,64.2846146,
3794,545,5,545-5,Leaf,,,,,0.0922191888,34.3528633,
3795,545,6,545-6,Leaf,,,,,-0.0554167107,10.6881847,
3796,546,0,546-0,f25940,-0.5,546-1,546-2,546-1,1.48143291,104.126732,b001
3797,546,1,546-1,f27378,0.5,546-3,546-4,546-3,1.40057611,31.7475586,b100
3798,546,2,546-2,f34162,-0.5,546-5,546-6,546-5,1.8159703,72.3791733,b001
3799,546,3,546-3,Leaf,,,,,-0.0786379129,27.1805134,
3800,546,4,546-4,Leaf,,,,,0.0877841711,4.56704378,
3801,546,5,546-5,Leaf,,,,,0.0690515414,37.4550018,
3802,546,6,546-6,Leaf,,,,,-0.0249174275,34.9241714,
3803,547,0,547-0,f2518,0.5,547-1,547-2,547-1,1.61449122,103.898483,b100
3804,547,1,547-1,f32108,0.5,547-3,547-4,547-3,1.88100028,94.6126328,b100
3805,547,2,547-2,f359,0.5,547-5,547-6,547-5,0.892054081,9.28585434,b100
3806,547,3,547-3,Leaf,,,,,0.00695325853,70.2405777,
3807,547,4,547-4,Leaf,,,,,-0.0882634372,24.3720531,
3808,547,5,547-5,Leaf,,,,,0.145971924,7.72380781,
3809,547,6,547-6,Leaf,,,,,-0.0680240691,1.56204629,
3810,548,0,548-0,f43586,-0.5,548-1,548-2,548-1,2.12496018,163.650955,b001
3811,548,1,548-1,f152,0.5,548-3,548-4,548-3,1.79214823,20.2036953,b100
3812,548,2,548-2,f1404,0.5,548-5,548-6,548-5,2.38298607,143.447266,b100
3813,548,3,548-3,Leaf,,,,,-0.117384933,18.431036,
3814,548,4,548-4,Leaf,,,,,0.146341443,1.77266073,
3815,548,5,548-5,Leaf,,,,,0.0291136876,123.089569,
3816,548,6,548-6,Leaf,,,,,-0.0794205889,20.3576946,
3817,549,0,549-0,f3799,0.5,549-1,549-2,549-1,2.24576259,228.736618,b100
3818,549,1,549-1,f27738,0.5,549-3,549-4,549-3,2.49302149,220.137939,b100
3819,549,2,549-2,Leaf,,,,,-0.141716152,8.59868526,
3820,549,3,549-3,Leaf,,,,,0.0351821892,121.360718,
3821,549,4,549-4,Leaf,,,,,-0.0287176464,98.7772217,
3822,550,0,550-0,f4343,0.5,550-1,550-2,550-1,3.25257111,394.541107,b100
3823,550,1,550-1,f1303,0.5,550-3,550-4,550-3,3.5408442,376.179596,b100
3824,550,2,550-2,f1550,0.5,550-5,550-6,550-5,1.66512561,18.3614902,b100
3825,550,3,550-3,Leaf,,,,,-0.0173319578,332.826935,
3826,550,4,550-4,Leaf,,,,,0.0728945732,43.352684,
3827,550,5,550-5,Leaf,,,,,0.149223447,16.5608807,
3828,550,6,550-6,Leaf,,,,,-0.110868633,1.80060971,
3829,551,0,551-0,f10,0.5,551-1,551-2,551-1,2.49912643,253.374786,b100
3830,551,1,551-1,f931,0.5,551-3,551-4,551-3,2.98302674,236.99324,b100
3831,551,2,551-2,f461,0.5,551-5,551-6,551-5,1.38868499,16.3815346,b100
3832,551,3,551-3,Leaf,,,,,-0.00176090386,217.075439,
3833,551,4,551-4,Leaf,,,,,0.116854623,19.9178085,
3834,551,5,551-5,Leaf,,,,,-0.138991475,14.6780214,
3835,551,6,551-6,Leaf,,,,,0.104091406,1.70351398,
3836,552,0,552-0,f4837,0.5,552-1,552-2,552-1,2.30385041,163.589676,b100
3837,552,1,552-1,f3683,0.5,552-3,552-4,552-3,2.12310886,141.941956,b100
3838,552,2,552-2,f22741,0.5,552-5,552-6,552-5,1.45982146,21.6477222,b100
3839,552,3,552-3,Leaf,,,,,-0.0246823318,130.470795,
3840,552,4,552-4,Leaf,,,,,0.104898296,11.4711637,
3841,552,5,552-5,Leaf,,,,,0.119923919,18.7105865,
3842,552,6,552-6,Leaf,,,,,-0.0859168619,2.93713498,
3843,553,0,553-0,f4756,0.5,553-1,553-2,553-1,2.13600874,109.4842,b100
3844,553,1,553-1,f5028,0.5,553-3,553-4,553-3,2.42235994,84.5851974,b100
3845,553,2,553-2,f183,0.5,553-5,553-6,553-5,1.49583757,24.8990002,b100
3846,553,3,553-3,Leaf,,,,,-0.0451263189,67.513504,
3847,553,4,553-4,Leaf,,,,,0.0784545392,17.0716972,
3848,553,5,553-5,Leaf,,,,,0.106792837,21.7336235,
3849,553,6,553-6,Leaf,,,,,-0.0930549726,3.16537786,
3850,554,0,554-0,f44163,0.5,554-1,554-2,554-1,2.54191303,261.376617,b100
3851,554,1,554-1,f9611,0.5,554-3,554-4,554-3,3.94874573,99.1833038,b100
3852,554,2,554-2,f25958,0.5,554-5,554-6,554-5,3.30748987,162.193314,b100
3853,554,3,554-3,Leaf,,,,,-0.0568579249,89.2245178,
3854,554,4,554-4,Leaf,,,,,0.134201065,9.95878315,
3855,554,5,554-5,Leaf,,,,,0.0558373146,104.467865,
3856,554,6,554-6,Leaf,,,,,-0.0330825076,57.7254486,
3857,555,0,555-0,f42359,-0.5,555-1,555-2,555-1,2.11400723,156.974854,b001
